CCAA,Latitude,Longitude
Islas Baleares,39.56939,2.65024
Comunidad de Madrid,40.4165,-3.70256
Cataluña,41.38879,2.15899
Comunidad Valenciana,39.46975,-0.37739
Andalucía,37.38283,-5.97317
Aragón,41.65606,-0.87734
Castilla y León,41.65518,-4.72372
Castilla-La Mancha,38.9977,-1.86007
Extremadura,38.8786,-6.97028
La Rioja,-29.4131,-66.8558
Melilla,35.2919,-2.93848
Canarias,28.09973,-15.41343
País Vasco,43.26271,-2.92528
Galicia,42.23282,-8.72264
Región de Murcia,37.98704,-1.13004
Principado de Asturias,43.53573,-5.66152
