"time"	"consent"	"is_dentist"	"age"	"gender"	"workplace"	"population"	"workspace"	"dental_care_cabinets_number"	"activity_area"	"how_emergency_treatments"	"is_number_emergency_increase"	"reasons_of_contact_upTo3"	"how_solved"	"emergencies_per_week"	"patients_age_group"	"week_presential_patients"	"thanks1"	"top_emergency_type_upTo3"	"patient_symptoms_upToSeveral"	"patient_instructions_before_appointment_upToSeveral"	"preventive_procedure_before_waiting_room_upToSeveral"	"cross_contamination_cabinet_prevention_upToSeveral"	"patient_cabinet_prevention_measures_upToSeveral"	"auxiliary_personnel"	"PPE_upToSeveral"	"thanks2"
"2020/04/28 4:14:04 PM GMT+2"	"Sí"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2020/04/28 4:22:12 PM GMT+2"	"Sí"	"Sí"	"40-49 años"	"Hombre"	"Comunidad de Madrid"	"Más de 100.000 habitantes (urbana)"	"Práctica clínica privada por cuenta propia"	"Uno o dos gabinetes"	"Odontología general"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"No, se han reducido desde el estado de alarma"	"Dolor;Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas);Traumatismos dentarios en niños"	"Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos"	"Más de 10"	"No domina un grupo de edad sobre los otros"	"Menos de 5"	""	"Traumatismo del área orofacial acompañado de dolor severo;Presencia de dolor dentario severo que no cede con medicación habitual"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados;Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla"	"Se pide al paciente que se lave las manos con gel hidroalcohólico;Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete"	"Ha seguido empleando los habituales protocolos de desinfección de la consulta"	"Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"Sí, pero no durante todo el tiempo"	"Batas impermeables;Gafas de protección estancas;Pantalla facial;Guantes de nitrilo;Gorros de
sechables"	""
"2020/04/28 4:26:43 PM GMT+2"	"Sí"	"Sí"	"Menos de 29 años"	"Hombre"	"Comunidad de Madrid"	"Más de 100.000 habitantes (urbana)"	"Práctica clínica privada por cuenta ajena"	"Más de 10"	"Odontología Conservadora y Prótesis"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"No, se han reducido desde el estado de alarma"	"Dolor;Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas)"	"Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos"	"Menos de 5"	"De 30 a 60 años"	"Menos de 5"	""	"Presencia de dolor dentario severo que no cede con medicación habitual"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla;Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica"	"En recepción se registra la temperatura del paciente con un termómetro infrarrojo;Se pide al paciente que se lave las manos con gel hidroalcohólico;Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete"	"Renovación del aire del gabinete tras la consulta;Protección de las superficies de contacto con fundas plásticas desechables"	"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable;Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"Sí, pero no durante todo el tiempo"	"Mascarillas FFP2/FFP3;Pantalla facial;Cubrecalzado;Guantes de nitrilo;Gorros desechables"	""
"2020/04/28 4:27:57 PM GMT+2"	"Sí"	"Sí"	"60 años o más"	"Hombre"	"Comunidad de Madrid"	"Más de 100.000 habitantes (urbana)"	"Práctica clínica privada por cuenta propia"	"Entre 3 y 5"	"Endodoncia"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"No, se han reducido desde el estado de alarma"	"Dolor"	"Atención presencial del paciente en la consulta"	"Menos de 5"	"De 30 a 60 años"	"Menos de 5"	""	"Presencia de dolor dentario severo que no cede con medicación habitual"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados;Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla;Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica"	"Se pide al paciente que se lave las manos con gel hidroalcohólico;Se le entrega una mascarilla quirúrgica y se le pasa a la sala de espera"	"Renovación del aire del gabinete tras la consulta;Protección de las superficies de contacto con fundas plásticas desechables;Ha seguido empleando los habituales protocolos de desinfección de la consulta"	"Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada;Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"Sí, siempre trabajo a 4 manos"	"Mascarillas FFP2/FFP3;Batas impermeables;Gafas de protección estancas;Pantalla facial;Cubrecalzado;Guantes de nitrilo;Gorros desechables"	""
"2020/04/28 4:28:25 PM GMT+2"	"Sí"	"Sí"	"50-59 años"	"Mujer"	"Comunidad de Madrid"	"Entre 20.000-100.000 habitantes (semi-urbana)"	"Práctica en una institución sanitaria de carácter público"	"Uno o dos gabinetes"	"Odontología general"	"He estado en la clínica trabajando en mi horario habitual sólo atendiendo urgencias"	"No, igual que antes del estado de alarma"	"Dolor;Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas)"	"Telefónicamente"	"Entre 5 y 10"	"De 30 a 60 años"	"Menos de 5"	""	"Presencia de dolor dentario severo que no cede con medicación habitual"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla"	"Se pide al paciente que se lave las manos con gel hidroalcohólico;Se le entrega una mascarilla quirúrgica y se le pasa directo al gabinete"	"Renovación del aire del gabinete tras la consulta;Evitar uso de rotatorios de alta velocidad que generan aerosoles;Ha seguido empleando los habituales protocolos de desinfección de la consulta"	"Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"Sí, pero no durante todo el tiempo"	"Mascarillas FFP2/FFP3;Batas impermeables;Gafas de protección estancas;Pantalla facial;Guantes de nitrilo"	""
"2020/04/28 4:30:24 PM GMT+2"	"Sí"	"Sí"	"40-49 años"	"Mujer"	"Islas Baleares"	"Entre 20.000-100.000 habitantes (semi-urbana)"	"Práctica clínica privada por cuenta propia"	"Más de 5 pero menos de 10"	"Ortodoncia"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"No, se han reducido desde el estado de alarma"	"Dolor;Problemas relacionados con procedimientos quirúrgicos orales previos (hemorragias, dolor, tumefacción…);Problemas relacionados con tratamientos de ortodoncia"	"Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos"	"Entre 5 y 10"	"No domina un grupo de edad sobre los otros"	"Menos de 5"	""	"Presencia de dolor dentario severo que no cede con medicación habitual;Cualquier otra situación de emergencia que a su criterio después del triaje telefónico ha estimado que fuera inaplazable"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados;Su trabajo implica un mayor riesgo de contagio por coronavirus (trabajo en residencia de mayores, hospital, transporte público, cadena de alimentación, ...)"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla"	"En recepción se registra la temperatura del paciente con un termómetro infrarrojo;Se pide al paciente que se lave las manos con gel hidroalcohólico"	"Generador de ácido hipocloroso para la desinfección de batas y superficies inertes;Aspiración quirúrgica doble;Protección de las superficies de contacto con fundas plásticas desechables;Evitar uso de rotatorios de alta velocidad que generan aerosoles;Ha seguido empleando los habituales protocolos de desinfección de la consulta"	"Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada;Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable;Colocar al paciente gafas de protección;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"Sí, siempre trabajo a 4 manos"	"Mascarillas FFP2/FFP3;Gafas de protección estancas;Pantalla facial;Gorros desechables"	""
"2020/04/28 4:32:18 PM GMT+2"	"Sí"	"Sí"	"50-59 años"	"Mujer"	"Cataluña"	"Más de 100.000 habitantes (urbana)"	"Práctica clínica privada por cuenta propia"	"Más de 5 pero menos de 10"	"Odontología Conservadora y Prótesis"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"No, se han reducido desde el estado de alarma"	"Dolor;Problemas relacionados en la prótesis"	"Telefónicamente"	"Entre 5 y 10"	"De 30 a 60 años"	"Menos de 5"	""	"descementados o fractura provisional"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla;Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica"	"En recepción se registra la temperatura del paciente con un termómetro infrarrojo;Se pide al paciente que se lave las manos con gel hidroalcohólico"	"Generador de ácido hipocloroso para la desinfección de batas y superficies inertes;Aspiración quirúrgica doble;Renovación del aire del gabinete tras la consulta;Protección de las superficies de contacto con fundas plásticas desechables;Evitar uso de rotatorios de alta velocidad que generan aerosoles"	"Volver a pedir al paciente que se desinfecte las manos con gel hidroalcohólico antes de sentarse en el sillón (si ha estado en la sala de espera) y que no toque nada;Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable;Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"No, en el gabinete trabajo solo/a"	"Mascarillas FFP2/FFP3;Batas impermeables;Pantalla facial;Gorros desechables"	""
"2020/04/28 4:32:46 PM GMT+2"	"Sí"	"Sí"	"40-49 años"	"Hombre"	"Islas Baleares"	"Menos de 20.000 habitantes (rural)"	"Práctica clínica privada por cuenta propia"	"Uno o dos gabinetes"	"Odontología general"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"No, igual que antes del estado de alarma"	"Dolor;Tumefacción;Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas)"	"Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos"	"Entre 5 y 10"	"De 30 a 60 años"	"Entre 5 y 10"	""	"Presencia de inflamación importante en el área orofacial, acompañado de signos de alarma (extensión por encima del ojo, afectación del cuello, dificultades para tragar…).;Presencia de dolor dentario severo que no cede con medicación habitual;Cualquier otra situación de emergencia que a su criterio después del triaje telefónico ha estimado que fuera inaplazable"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha presentado o presenta dolor de garganta, congestión nasal, fatiga, dolor de cabeza, mialgia, ageusia o anosmia, diarrea o problemas gastrointestinales.;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados;Si es o ha sido positivo de covid 19"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes;No acudir acompañado, salvo que sea menor de edad o dependiente, y en estos casos con un único acompañante;Acudir con mascarilla;Debe mantener una distancia de seguridad con cualquier persona dentro de la clínica;No traer ni joyas ni objetos que no sean imprescindibles "	"En recepción se registra la temperatura del paciente con un termómetro infrarrojo;Se pide al paciente que se lave las manos con gel hidroalcohólico;Se le da un protector de zapatos y se pasa directo al gabinete"	"Aspiración quirúrgica doble;Renovación del aire del gabinete tras la consulta;Protección de las superficies de contacto con fundas plásticas desechables;Evitar uso de rotatorios de alta velocidad que generan aerosoles;Sistemas de aspiración de aerosoles y purificación del aire;Ha seguido empleando los habituales protocolos de desinfección de la consulta"	"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable;Colocar al paciente, antes de sentarse en el sillón dental, calzas o cubrezapatos;Colocar al paciente gafas de protección;Ofrecer al paciente povidona yodada al 0,5% o peróxido de hidrógeno al 1% para enjuague bucal y gargarismos"	"No, en el gabinete trabajo solo/a"	"Mascarillas FFP2/FFP3;Batas impermeables;Pantalla facial;Cubrecalzado;Guantes de nitrilo;Gorros desechables"	""
"2020/04/28 4:34:27 PM GMT+2"	"Sí"	"Sí"	"40-49 años"	"Mujer"	"Comunidad de Madrid"	"Más de 100.000 habitantes (urbana)"	"Práctica clínica privada por cuenta ajena"	"Entre 3 y 5"	"Cirugía, Implantes y Periodoncia"	"He estado disponible telefónicamente y he acudido a la clínica en caso de que fuera necesario"	"Sí, más que antes del estado de alarma"	"Dolor;Pérdida o fractura de una restauración (incluye descementado de restauraciones protésicas);Problemas relacionados con implantes"	"Atención presencial del paciente en la consulta"	"Entre 5 y 10"	"De 30 a 60 años"	"Más de 10"	""	"Presencia de dolor dentario severo que no cede con medicación habitual"	"Ha tenido o tiene fiebre superior a 37,5ºC y/o problemas respiratorios (incluyendo tos y dificultad respiratoria).;Ha estado en contacto con alguna persona que presentara sintomatología compatible con coronavirus o con casos confirmados"	"Llegar a la hora pactada (ni antes ni después) para evitar coincidencia de pacientes"	"Se pide al paciente que se lave las manos con gel hidroalcohólico"	"Ha seguido empleando los habituales protocolos de desinfección de la consulta"	"Colocar al paciente, antes de sentarse en el sillón dental, babero, delantal de plástico o paño quirúrgico impermeable"	"No, en el gabinete trabajo solo/a"	"Batas impermeables;Pantalla facial;Guantes de nitrilo;Gorros desechables"	""
"2020/04/28 4:39:38 PM GMT+2"	"Sí"	"Sí"	"30-39 años"	"Mujer"	"Comunidad de Madrid"	"Más de 100.000 habitantes (urbana)"	"Práctica clínica privada por cuenta propia"	"Uno o dos gabinetes"	"Odontología general"	"He podido solucionar todas las urgencias telefónicamente"	"No, se han reducido desde el estado de alarma"	"Dolor"	"Telefónicamente junto con la prescripción de antiinflamatorios, analgésicos y/o antibióticos"	"Entre 5 y 10"	"De 30 a 60 años"	"No he tratado urgencias presencialmente"	""	""	""	""	""	""	""	""	""	""
